2013-10-08 13:54:39,138 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2013-10-08 13:54:39,143 | INFO  | Recovery replayed 3 operations from the journal in 0.033 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2013-10-08 13:54:39,310 | INFO  | Apache ActiveMQ 5.8.0 (localhost, ID:sdf-PC-27966-1381211679167-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2013-10-08 13:54:39,396 | INFO  | Listening for connections at: tcp://sdf-PC:60000?maximumConnections=1000&wireformat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2013-10-08 13:54:39,397 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | main
2013-10-08 13:54:39,403 | INFO  | Listening for connections at: amqp://sdf-PC:5672?maximumConnections=1000&wireformat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2013-10-08 13:54:39,404 | INFO  | Connector amqp Started | org.apache.activemq.broker.TransportConnector | main
2013-10-08 13:54:39,406 | INFO  | Apache ActiveMQ 5.8.0 (localhost, ID:sdf-PC-27966-1381211679167-0:1) started | org.apache.activemq.broker.BrokerService | main
2013-10-08 13:54:39,407 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2013-10-08 13:54:40,033 | INFO  | Web console type: embedded | org.apache.activemq.web.WebConsoleStarter | main
2013-10-08 13:54:40,205 | INFO  | ActiveMQ WebConsole initialized. | org.apache.activemq.web.WebConsoleStarter | main
2013-10-08 13:54:40,313 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2013-10-08 13:54:40,633 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2013-10-09 11:21:36,594 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7e973f09: startup date [Wed Oct 09 11:21:36 CST 2013]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2013-10-09 11:21:37,795 | INFO  | PListStore:[D:\Code\Java\apache-activemq-5.8.0\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2013-10-09 11:21:37,834 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\Code\Java\apache-activemq-5.8.0\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2013-10-09 11:21:38,755 | INFO  | KahaDB is version 4 | org.apache.activemq.store.kahadb.MessageDatabase | main
2013-10-09 11:21:38,814 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2013-10-09 11:21:38,818 | INFO  | Recovery replayed 4 operations from the journal in 0.042 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2013-10-09 11:21:38,992 | INFO  | Apache ActiveMQ 5.8.0 (localhost, ID:sdf-PC-39387-1381288898841-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2013-10-09 11:21:39,081 | INFO  | Listening for connections at: tcp://sdf-PC:60000?maximumConnections=1000&wireformat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2013-10-09 11:21:39,082 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | main
2013-10-09 11:21:39,087 | INFO  | Listening for connections at: amqp://sdf-PC:5672?maximumConnections=1000&wireformat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2013-10-09 11:21:39,088 | INFO  | Connector amqp Started | org.apache.activemq.broker.TransportConnector | main
2013-10-09 11:21:39,090 | INFO  | Apache ActiveMQ 5.8.0 (localhost, ID:sdf-PC-39387-1381288898841-0:1) started | org.apache.activemq.broker.BrokerService | main
2013-10-09 11:21:39,090 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2013-10-09 11:21:39,767 | INFO  | Web console type: embedded | org.apache.activemq.web.WebConsoleStarter | main
2013-10-09 11:21:39,928 | INFO  | ActiveMQ WebConsole initialized. | org.apache.activemq.web.WebConsoleStarter | main
2013-10-09 11:21:40,043 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2013-10-09 11:21:40,416 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
