"time","X","Y","Predicted Y","APE"
1   ,17477296,113550.1,115539.965972375,0.0175241234695052
2   ,18117859.2,119131.5,117462.571507061,0.0140091285087374
3   ,16994435.2,120137.7,116689.709239449,0.0287003227176098
4   ,16894403.2,121754.5,117259.403665523,0.0369193445373864
5   ,17170697.6,120430.1,116779.047704061,0.0303167754235737
6   ,19241612.8,127439.1,120978.634793319,0.0506945294394027
7   ,21227468.8,128969.9,124096.202112434,0.037789421311219
8   ,17043564.8,115261.5,121633.020681708,0.0552788284180601
9   ,18602057.6,112879.3,120268.796561462,0.065463699380326
10  ,19831721.6,120262.4,118588.879371297,0.0139155765118897
11  ,18884915.2,124433.4,119746.473710461,0.0376661434111696
12  ,19530876.8,121840.5,119360.399635375,0.0203553035700398
13  ,20978425.6,125181.6,120791.138524514,0.035072738129932
14  ,18668137.6,112771.8,122187.937414509,0.0834972698361593
15  ,19917571.2,116026.9,118632.901867239,0.0224603248663838
16  ,18592153.6,116233.3,116543.914372823,0.0026723354909697
17  ,17351865.6,119677.6,115310.406851897,0.0364913162371496
18  ,19302368,127830.4,116961.82431389,0.0850234035574493
19  ,18346764.8,112720.2,120795.538285781,0.0716405603057913
20  ,17004643.2,117665.2,115655.017502555,0.0170839168882973
21  ,16948512,120464.5,117713.715169134,0.0228348171524884
22  ,18053209.6,123762.6,118797.484052566,0.0401180643218053
23  ,17653987.2,128539.9,119381.679221069,0.0712480776702854
24  ,22085689.6,126316.8,126392.279020464,0.000597537465038331
25  ,23990345.6,131270.4,129245.644722026,0.015424309501407
26  ,22110592,133794.5,129118.439314918,0.0349495733014556
27  ,17762096,128840.9,124916.393582545,0.0304600978218519
28  ,20605984,131257.5,128422.648847265,0.0215976317752111
29  ,20595932.8,124321.6,130344.50368556,0.0484461564648485
30  ,18624240,134693.2,127157.601704233,0.0559463899867803
31  ,17029913.6,119251.9,127823.686792365,0.0718796664234667
32  ,18004688,122498.4,122648.494413103,0.00122527651873509
33  ,17392406.4,124330.2,123864.216497022,0.0037479510447034
34  ,22648486.4,123728.2,128505.184293661,0.0386086946521554
35  ,18411238.4,130466.3,120357.963850702,0.0774785224176492
36  ,21815331.2,144389.7,129599.454631926,0.102432828436338
37  ,23243526.4,138584.7,133618.641414851,0.0358341042348056
38  ,18972652.8,136619.6,133087.976079297,0.0258500531453961
39  ,18166281.6,134396.5,134370.684147979,0.000192087234572451
40  ,15228540.8,125508.4,130873.744700337,0.042748889320056
41  ,15593740.8,123130.5,129206.635020177,0.0493471156226654
42  ,16763017.6,125744.9,126884.565724939,0.00906331568865838
43  ,15759555.2,120666.6,125390.826818821,0.0391510726151283
44  ,16147257.6,127783.1,121677.738907826,0.0477790967050705
45  ,18310412.8,127366,125732.258424184,0.0128271404913075
46  ,18266000,140167.1,125455.619165586,0.104956732602833
47  ,16918752,129709.5,130599.626753876,0.00686246384324961
48  ,17137801.6,120954.7,128013.096579712,0.0583557032485096
49  ,18016358.4,120933.2,127001.713227734,0.0501807049489662
50  ,17315408,117974.8,125061.255991514,0.0600675397755605
51  ,16720691.2,111064.7,119428.768599554,0.0753080735783206
52  ,18962211.2,118731.6,116484.69488119,0.0189242385246195
53  ,18339891.2,112604.1,117423.672818931,0.0428010420484767
54  ,17432067.2,122094.2,113184.185279412,0.0729765600707361
55  ,18711724.8,123418.6,117675.352670741,0.0465346984106065
56  ,16737203.2,108183.7,117367.963198127,0.0848950738246766
57  ,20395904,126131.9,116767.542965847,0.0742425749089061
58  ,18332064,105246.8,120515.280039055,0.145073104731499
59  ,15875488,105655.3,109740.066626781,0.0386612562434687
60  ,19974473.6,118976.7,111852.610737527,0.0598780203390528
61  ,21136854.4,122296.3,116465.640559269,0.0476764991314644
62  ,21731065.6,107487.1,117874.217291833,0.0966359432139552
63  ,21120515.2,113928.5,111759.254721342,0.0190404093677846
64  ,22498454.4,116753.6,117135.75459692,0.00327317185011475
65  ,26613763.2,111563.5,119094.853151661,0.0675073223021995
66  ,26626492.8,129825.6,115533.646806965,0.110085785800608
67  ,19998790.4,111757,117906.38399727,0.0550245979873301
68  ,19466560,115842,111028.77798868,0.0415498870126561
69  ,22090972.8,114977.7,117301.222811266,0.0202084648698451
70  ,22481248,119643.2,118716.573678689,0.00774491422254871
71  ,20427923.2,111894.6,116414.38702185,0.0403932542039559
72  ,24163158.4,115115.3,116621.12577972,0.0130810220684824
73  ,20521008,115149.7,113514.144524215,0.0142037319748575
74  ,20362646.4,114285.4,115212.046302751,0.00810817744655608
75  ,19015865.6,114517.6,110755.019568738,0.0328559141237887
